,ID2,Latitude,Longitude,Elevation,MAT,MWMT,MCMT,TD,MAP,MSP,AHM,SHM,DD_0,DD5,DD_18,DD18,NFFD,bFFP,eFFP,FFP,PAS,EMT,EXT,MAR,Eref,CMD,RH,CMI,DD1040
"105",68284552,47.3764328664,-121.9804870337,-9999,10,17.2,3,14.3,1435,319,13.9,54,100,2087,3014,87,291,109,307,198,49,-17.8,36,11.5,768,227,68,79.65,923
"106",68317487,46.7521083333,-121.8123222222,-9999,5.7,14.3,-1.9,16.2,2306,413,6.8,34.6,361,1176,4485,21,193,160,276,116,589,-27.4,33.2,13.3,634,145,66,181.58,433
"107",68317528,46.7498861111,-121.8134277778,-9999,5.8,14.4,-1.8,16.2,2268,409,7,35.2,351,1201,4441,22,195,159,276,117,556,-27.2,33.4,13.1,658,150,66,176.98,448
"108",68378273,47.2452264559,-122.4858716225,-9999,10.6,17.8,3.7,14,1036,202,19.9,87.8,83,2251,2818,110,303,97,314,217,28,-16.2,36.1,7.1,774,345,69,38.8,1022
"109",68382043,49.3051834106,-123.0087814331,-9999,9.9,17.6,2.7,14.9,1669,353,11.9,49.9,110,2103,3041,102,302,86,314,228,66,-17.2,34.8,11.5,641,130,75,114.93,952
"110",68382155,49.3054275511,-123.0087966917,-9999,9.9,17.6,2.7,14.9,1671,353,11.9,49.8,110,2102,3042,101,302,86,314,228,66,-17.2,34.8,11.5,641,130,75,115.12,951
"111",68431464,47.6176083333,-122.3131866667,-9999,10.9,17.9,4.2,13.7,939,178,22.3,100.1,73,2336,2706,119,316,81,322,241,21,-14.8,35.7,11.3,738,343,71,32.04,1066
"112",68431725,47.46565,-120.324845,-9999,10.1,22.3,-2.5,24.7,242,57,83,391.4,287,2570,3226,364,237,116,286,170,43,-28,40.7,13.7,898,757,60,-61.29,1444
"113",68439913,49.40448,-123.559975,-9999,9.3,16.8,2.6,14.2,1496,302,12.9,55.7,120,1892,3248,68,297,91,311,220,69,-17.1,33.9,11.4,598,143,77,102.59,805
"114",68441859,49.4056783333,-123.5576383333,-9999,9.2,16.8,2.5,14.3,1514,306,12.7,54.9,122,1882,3262,67,296,92,311,219,71,-17.2,33.9,11.4,597,141,77,104.47,800
"115",68471695,49.3424606322,-123.135772705,-9999,9.5,17.2,2.4,14.7,1854,384,10.5,44.7,121,1983,3173,82,297,90,312,222,84,-17.6,34.3,11.3,621,107,76,135.72,875
"116",68476388,49.38953,-123.5527033333,-9999,9.5,17,3,14.1,1403,280,13.9,60.9,109,1962,3154,75,303,86,314,228,56,-16.4,34,-9999,597,158,77,93.16,847
"117",68499123,47.37513916,-122.06213208,-9999,10.3,17.6,3.4,14.2,1277,277,15.9,63.5,89,2190,2891,101,300,100,311,211,37,-16.8,36,11.5,769,267,69,63.31,983
"118",68500224,47.37402186,-122.06353545,-9999,10.4,17.6,3.4,14.2,1275,276,16,63.6,89,2191,2890,101,300,100,311,211,37,-16.8,36,11.5,769,267,69,63.15,984
"119",68502979,47.37528402,-122.06636817,-9999,10.4,17.6,3.4,14.1,1272,275,16,63.8,89,2193,2888,101,300,100,311,211,37,-16.8,36,11.5,768,268,69,62.83,985
"120",68516263,49.1191833333,-123.987695,-9999,8.4,16.6,1.3,15.3,1389,212,13.2,78.1,171,1725,3549,58,273,112,299,187,120,-19.5,34.4,12.2,632,248,74,90.67,740
"121",68522616,49.3299179075,-122.9988174436,-9999,9.6,17.3,2.4,15,1912,403,10.2,43,122,2009,3155,88,296,91,312,220,88,-17.8,34.6,11.8,633,103,75,140.21,897
"122",68522813,49.3309783933,-122.9989929197,-9999,9.6,17.3,2.3,15,1927,406,10.1,42.6,122,2003,3163,87,296,92,312,220,89,-17.8,34.6,11.8,633,101,75,141.9,893
"123",68523103,49.3142318725,-122.9924468992,-9999,9.8,17.5,2.5,14.9,1795,379,11,46.1,116,2057,3098,93,299,89,313,224,77,-17.5,34.7,11.6,638,116,75,127.99,925
"124",68570665,49.13985,-123.9508833333,-9999,9.3,17.2,2.3,14.9,1135,196,17,87.6,130,1921,3264,80,288,102,306,204,62,-17.9,34.9,11.7,649,272,74,62.58,850
