OID_,Field1,ID2,lat,long,el,RASTERVALU
674,1425,107852500,47.466892530000003,-122.162703969999995,.,11.4503489
675,1426,107852831,47.469977409999998,-122.166999079999997,.,11.4435558
676,1427,107853422,47.477110699999997,-122.223544039999993,.,10.2487335
677,1428,107855446,47.478074180000000,-122.223950759999994,.,6.8110790
678,1429,107855536,47.483176989999997,-122.220272080000001,.,6.7520370
679,1430,107855819,47.465737849999996,-122.236679229999993,.,11.9109993
680,1431,107856302,47.465988629999998,-122.236727200000004,.,10.7341728
681,1432,107857044,47.465677040000003,-122.235252520000003,.,13.1146917
682,1459,108640007,47.370449999999998,-122.245728333299994,.,8.9372463
683,1460,108658033,47.468082709999997,-122.225432679999997,.,10.5585747
684,1461,108759155,47.440452630000003,-122.192907030000001,.,10.6159010
685,1465,108770267,47.435868631300004,-122.180796079299995,.,8.4765577
686,1466,108770497,47.469052346900000,-122.159020900700000,.,11.7926044
687,1469,108773144,47.478846590000003,-122.158102830000004,.,8.7916355
688,1470,108776483,47.475590779999997,-122.176381109999994,.,11.4192410
689,1471,108776540,47.475826079999997,-122.176425670000000,.,9.8600245
690,1472,108776574,47.467146860000000,-122.164368409999994,.,10.3822918
691,1473,108776616,47.467186179999999,-122.164454019999994,.,10.7456398
692,1474,108776635,47.467566140000002,-122.165312450000002,.,9.4081879
693,1475,108776647,47.466971139999998,-122.174424799999997,.,9.5095997
694,1505,109109396,47.504363333299999,-122.246658333300005,.,8.5509052
695,104,68283750,47.377745769999997,-121.982518639999995,.,6.7164679
696,105,68284552,47.376432866400002,-121.980487033700001,.,8.2963390
697,152,68729584,47.378880399700002,-121.973003300000002,.,9.1894035
698,1289,101493174,47.435656202499999,-121.966675814200002,.,10.3432570
699,1290,101493794,47.436233081300003,-121.964609056399993,.,9.0904922
700,1339,104726927,47.458080000000002,-121.967841666699996,.,7.9377046
701,1340,104731631,47.452900000000000,-121.968391666700001,.,8.4956913
702,1341,104776285,47.441454999999998,-121.969246666700002,.,8.6131926
703,1342,104890795,47.450444069699998,-122.011561682600004,.,7.7286863
704,1343,104891946,47.407343855500002,-122.009627102699994,.,8.2888918
705,1344,104935535,47.446914659900003,-122.007557898900004,.,9.4081669
706,1345,105076844,47.482011666699997,-122.055611166700004,.,8.3133450
707,1351,105624022,47.447039424499998,-122.007480952999998,.,9.3519697
708,55,63253840,47.487368683299998,-121.719406899999996,.,8.1532154
709,56,63255638,47.487474083300000,-121.719033999999994,.,6.6862836
710,386,74173604,47.431635030000002,-121.759774629999995,.,8.2330236
711,388,74182740,47.430982989999997,-121.742891860000000,.,6.2513528
712,389,74182835,47.431012930000001,-121.742893050000006,.,6.2626109
713,461,74780439,47.463636933899998,-121.846640780700000,.,7.8517561
714,674,79312199,47.490811666699997,-121.726471666699993,.,8.9629335
715,675,79313397,47.504271666699999,-121.740433333300004,.,6.0918455
716,676,79314214,47.496583333300002,-121.732666666699998,.,7.9660726
717,700,80068595,47.459441666700002,-121.612388333300004,.,10.2845860
718,701,80068716,47.475411666699998,-121.624763333299995,.,9.5745325
719,702,80069068,47.489788333299998,-121.638144999999994,.,6.1914210
720,1253,99989148,47.407986666699998,-121.607636666700003,.,7.1254563
721,113,68431725,47.465649999999997,-120.324844999999996,.,8.2449303
722,457,74700267,47.572046666699997,-123.563491666700003,.,7.1611233
723,391,74202666,47.566672789999998,-123.359655549999999,.,7.2501802
724,392,74202711,47.565584880000003,-123.368375900000004,.,8.8496094
725,393,74203159,47.531464649999997,-123.361086810000003,.,5.2811055
726,448,74583964,47.558985090100002,-123.376060835999994,.,4.9653554
727,372,73780982,47.645254999999999,-122.530175000000000,.,7.4694533
728,610,78414054,47.575897429999998,-122.547181480000006,.,10.7296677
729,677,79330359,47.645845000000001,-122.538588333299998,.,7.5417881
